Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A1A4S6	A1A4S6	1	1	1	Rho GTPase-activating protein 10	ARHGAP10	RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	89.374	786	786	0.21995	0.29548	160740	299010	291.44	2293.7	2089.6	362.17	0	892.75	0	475.08	0	532.61	0	0	0	0	148900	277700	11807	22855	2301.7	1111.8	0	865.83	0	496.97	0	522.68	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	92513000	1				0	1540	True	1540	1762	1777	1777		
A1L390	A1L390	1	1	1	Pleckstrin homology domain-containing family G member 3	PLEKHG3	PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1	1	1	1	1	0.7	0.7	0.7	134.41	1219	1219	0.37958	0.11898	276410	230800	3009.3	2246.4	22.391	0	638.68	505.05	0	442.06	412.39	663.39	0	0	0	0	256070	214360	22594	18079	783.51	572.44	599.79	482.73	0	452.21	387.47	645.39	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	87096000	1				1	3685	True	3690	4166	4200	4200		
A1L4H1	A1L4H1	1	1	1	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SSC5D	SRCRL_HUMAN Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=1 SV=3	1	1	1	1	0.8	0.8	0.8	165.74	1573	1573	0.19096	0.31001	16987	10752	0	54.544	0	0	0	0	0	0	0	0	0	0	0	0	15736	9985.8	1157.3	795.61	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4814000	1				2	6163	True	6168	6956	7007	7007		
A2VDF0	A2VDF0	1	1	1	Fucose mutarotase	FUOM	FUCM_HUMAN Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2	1	1	1	1	5.8	5.8	5.8	16.765	154	154	0.53211	-0.39521	121450	206270	2427.2	4037.8	1852.5	0	216.07	854.39	0	475.54	0	910.9	0	0	0	0	112520	191580	10978	18043	2135.9	460.17	296.61	801.84	0	504.22	0	881.68	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	96607000	1				3	2383	True	2385	2717	2734	2734		
A3KMH1	A3KMH1	1	1	1	von Willebrand factor A domain-containing protein 8	VWA8	VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2	1	1	1	1	0.5	0.5	0.5	214.82	1905	1905	0.39205	0.10417	953910	681660	4571.9	3914.7	993.2	607.54	1611.6	1201.4	2127.2	1053.3	1778.8	953.31	0	0	0	0	883690	633070	72576	50875	3191.5	2230.7	1609.4	1183.3	2128.8	1063.2	1747.2	942.39	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	582230000	1				4	3515	True	3519	3977	4009	4009		
A4D1B5	A4D1B5	1	1	1	Gamma-secretase-activating protein;Gamma-secretase-activating protein 16 kDa C-terminal form	GSAP	GSAP_HUMAN Gamma-secretase-activating protein OS=Homo sapiens GN=GSAP PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	97.8	854	854	0.29425	0.2162	360830	442060	4106.2	8955.8	428.23	227.92	860.74	447.31	0	612.03	691.91	865.34	0	0	0	0	334280	410590	29665	38954	1407.9	1681.8	828.3	457.84	0	614.38	649.96	842.96	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	94208000	1				5	3970	True	3975	4489	4526	4526		
Q6S8J3;A5A3E0;P0CG38;P0CG39;Q6S8J7;Q6S5H5;A6NI47;B2RU33;H3BUK9;Q6S545;Q6S5H4;A0JP26	Q6S8J3;A5A3E0;P0CG38;P0CG39	7;7;6;4;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	POTE ankyrin domain family member E;POTE ankyrin domain family member F;POTE ankyrin domain family member I;POTE ankyrin domain family member J	POTEE;POTEF;POTEI;POTEJ	POTEE_HUMAN POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=2 SV=3;POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2;POTEI_HUMAN POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI PE=3 SV=1;POTEJ_H	12	7	1	1	6	0.7	0.7	121.36	1075	1075;1075;1075;1038;498;508;508;542;544;545;581;581	0.43232	0.0015091	85905	120680	647.64	1222.5	718.48	52.622	0	390.62	0	0	0	0	0	0	0	0	79583	112080	6762.9	9499.2	887.57	380.18	0	368.26	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	97239000	1				6	274;466;675;676;4366;4629;5216	False;True;False;False;False;False;False	271;463;671;672;4372;4636;5223	304;305;306;307;539;772;773;4931;5222;5861;5862;5863;5864	304;305;306;307;308;543;777;778;4970;5266;5907;5908;5909;5910	304;543;777;778;4970;5266;5909		
A5PL33	A5PL33	1	1	1	Protein KRBA1	KRBA1	KRBA1_HUMAN Protein KRBA1 OS=Homo sapiens GN=KRBA1 PE=1 SV=3	1	1	1	1	0.7	0.7	0.7	107.5	1030	1030	0.37718	0.1212	201640	179020	2270.7	5013.6	652.07	0	654.92	549.02	580.87	830.82	0	267.51	0	0	0	0	186810	166280	16561	17060	1175.7	341.6	659.28	521.02	574.62	809.28	0	283.32	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	64470000	1				7	4934	True	4943	5552	5597	5597		
A5PLN7	A5PLN7	1	1	1	Protein FAM149A	FAM149A	F149A_HUMAN Protein FAM149A OS=Homo sapiens GN=FAM149A PE=2 SV=2	1	1	1	1	1.2	1.2	1.2	82.697	773	773	0.52223	-0.38439	316870	372100	3561.7	6706.5	557.44	0	335.84	632.09	1538.3	1093.9	1010.1	1193.2	0	0	0	0	293560	345610	26012	32014	1395	1083.3	384.62	621.55	1492.2	1082.1	1003.7	1171.1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	141030000	1				8	3390	True	3394	3831	3861	3861		
A5YKK6	A5YKK6	1	1	1	CCR4-NOT transcription complex subunit 1	CNOT1	CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	1	1	1	1	0.3	0.3	0.3	266.94	2376	2376	0.32686	0.16437	50645	44077	868.4	998.91	92.635	0	0	0	0	0	0	0	0	0	0	0	46921	40941	4435.6	3982.2	243.42	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2563500	1				9	5255	True	5261	5906	5952	5952		
