Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1	1	1	1	1	1.4	1.4	1.4	102.36	921	921	0.27032	0.534	58881	76077	83.142	144.31	0	350.73	0	558.86	569.98	635.72	0	698.9	0	0	0	0	54545	70652	4293.7	5410.9	0	505.11	0	555.36	534.09	637.51	0	685.91	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	2759700	1				0	3349	True	3356	3683	3771	3771		
A0MZ66	A0MZ66	1	1	1	Shootin-1	KIAA1598	SHOT1_HUMAN Shootin-1 OS=Homo sapiens GN=SHTN1 PE=1 SV=4	1	1	1	1	1.1	1.1	1.1	71.639	631	631	0.51965	-0.031566	105710	212010	0	263.03	2025.9	727.31	858.75	1044.7	907.94	2090.8	684.58	1090.8	0	0	0	0	97920	196890	6723.7	14945	2073.3	1153.9	921.07	1064.6	915.45	2033.8	675.83	1109.1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	10005000	1				1	3950	True	3963	4351	4455	4455		
A2A2Y4	A2A2Y4	1	1	1	FERM domain-containing protein 3	FRMD3	FRMD3_HUMAN FERM domain-containing protein 3 OS=Homo sapiens GN=FRMD3 PE=2 SV=1	1	1	1	1	1.3	1.3	1.3	68.771	597	597	0.16257	0.60655	73882	120580	0	0	992.18	443.1	512.28	1124.4	0	1166.5	0	969.9	0	0	0	0	68438	111970	4805	8255.3	1057.5	679.01	524.84	1100.1	0	1166.3	0	962.04	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	10762000	1				2	6006	True	6024	6613	6751	6751		
Q9H560;Q8IVF6;A2A2Z9	Q9H560;Q8IVF6;A2A2Z9	1;1;1	1;1;1	1;1;1	Putative ankyrin repeat domain-containing protein 19;Ankyrin repeat domain-containing protein 18A;Ankyrin repeat domain-containing protein 18B	ANKRD19P;ANKRD18A;ANKRD18B	ANR19_HUMAN Putative ankyrin repeat domain-containing protein 19 OS=Homo sapiens GN=ANKRD19P PE=5 SV=1;AN18A_HUMAN Ankyrin repeat domain-containing protein 18A OS=Homo sapiens GN=ANKRD18A PE=2 SV=3;AN18B_HUMAN Ankyrin repeat domain-containing protein 18B O	3	1	1	1	2.7	2.7	2.7	30.436	264	264;992;1011	0.34255	0.4946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				3	2546	True	2552	2808	2878	2878		
A2RUB6	A2RUB6	1	1	1	Coiled-coil domain-containing protein 66	CCDC66	CCD66_HUMAN Coiled-coil domain-containing protein 66 OS=Homo sapiens GN=CCDC66 PE=1 SV=4	1	1	1	1	0.7	0.7	0.7	109.41	948	948	0.414	0.43231	264400	245750	0	0	235.79	961.96	830.28	1764.6	1432.2	2253.6	1676.5	1304.4	0	0	0	0	244920	228220	18045	16308	719.21	1392.9	819.53	1749.8	1437.9	2222.6	1625.6	1318	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	22574000	1				4	3504	True	3511	3854	3950	3950		
A2VDF0	A2VDF0	1	1	1	Fucose mutarotase	FUOM	FUCM_HUMAN Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2	1	1	1	1	5.8	5.8	5.8	16.765	154	154	0.54473	-0.083325	127010	207610	0	0	1651.3	360.88	188.47	1449.6	1186.3	1576.9	585.41	1072.9	0	0	0	0	117660	192800	8260.8	14241	1752.8	784.3	286.13	1409.1	1142.1	1567.8	592.31	1074.4	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	12353000	1				5	2266	True	2270	2503	2565	2565		
A4D1E1	A4D1E1	1	1	1	Zinc finger protein 804B	ZNF804B	Z804B_HUMAN Zinc finger protein 804B OS=Homo sapiens GN=ZNF804B PE=2 SV=2	1	1	1	1	0.5	0.5	0.5	152.57	1349	1349	0.37967	0.46897	294930	79965	0	0	1215.1	668.51	1511	460.2	2177.5	478.44	1469.7	842.32	0	0	0	0	273210	74256	20212	4769.1	1711.2	747.12	1519.6	474.45	2161	489.38	1458.9	816.45	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	8862800	1				6	4349	True	4363	4782	4889	4889		
Q8IX94;Q86UF2;P0CG41;A4FU28;A4D2H0	Q8IX94;Q86UF2;P0CG41;A4FU28;A4D2H0	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	cTAGE family member 4;cTAGE family member 6;cTAGE family member 8;cTAGE family member 9;cTAGE family member 15	CTAGE4;CTAGE6;CTAGE8;CTAGE9;CTAGE15	CTGE4_HUMAN cTAGE family member 4 OS=Homo sapiens GN=CTAGE4 PE=2 SV=3;CTGE6_HUMAN cTAGE family member 6 OS=Homo sapiens GN=CTAGE6 PE=2 SV=2;CTGE8_HUMAN cTAGE family member 8 OS=Homo sapiens GN=CTAGE8 PE=3 SV=1;CTGE9_HUMAN cTAGE family member 9 OS=Homo sapi	5	1	1	1	1.8	1.8	1.8	87.988	777	777;777;777;777;777	0.25395	0.54292	145930	280430	0	0	1046.9	1870.9	393.49	1592.5	1062.8	2280.4	797.59	2536.9	0	0	0	0	135180	260430	9109.1	18962	1196.8	2326.5	443.01	1638.2	1042.4	2270.6	787.12	2488.5	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	50323000	1				7	3565	True	3573	3918	4015	4015		
Q6S8J3;A5A3E0;P0CG38;P0CG39;Q6S8J7;Q6S5H5;A6NI47;B2RU33;H3BUK9;Q6S545;Q6S5H4;A0JP26	Q6S8J3;A5A3E0;P0CG38;P0CG39	7;7;6;4;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	POTE ankyrin domain family member E;POTE ankyrin domain family member F;POTE ankyrin domain family member I;POTE ankyrin domain family member J	POTEE;POTEF;POTEI;POTEJ	POTEE_HUMAN POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=2 SV=3;POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2;POTEI_HUMAN POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI PE=3 SV=1;POTEJ_H	12	7	1	1	6.4	0.7	0.7	121.36	1075	1075;1075;1075;1038;498;508;508;542;544;545;581;581	0.028807	1.0729	84027	124060	0	0	683.16	1077.8	430.53	468.42	325.03	512.52	447.81	824.67	0	0	0	0	77836	115200	5562.4	7195.7	789.58	1178.1	442.03	502.93	340.27	521.69	432.29	800.89	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	15030000	1				8	229;421;619;620;2709;4192;5009	False;True;False;False;False;False;False	228;420;614;615;2715;4206;5025	251;252;471;684;685;686;2989;4614;5499;5500;5501;5502	256;257;258;259;260;261;487;702;703;704;3064;4720;5616;5617;5618;5619;5620;5621;5622	256;487;702;703;3064;4720;5616		
A6H8Y1	A6H8Y1	1	1	1	Transcription factor TFIIIB component B homolog	BDP1	BDP1_HUMAN Transcription factor TFIIIB component B homolog OS=Homo sapiens GN=BDP1 PE=1 SV=3	1	1	1	1	0.4	0.4	0.4	293.88	2624	2624	0.2436	0.5493	67126	214580	2418	11712	0	1298.3	0	1249	317.32	1734.3	348.36	1716.9	0	496	0	0	62198	199360	7056.2	25773	0	2407.5	0	1292.6	309.4	1723.7	338.36	1705.5	0	519.09	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	13527000	1				9	1837	True	1841	2035	2086	2086		
