Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q8IZP1;Q6IPX1;Q6DHY5;P0C7X1;B9A6J9;A6NER0;A6NDS4;A0A087X1G2;A0A087X179;A0A087WXS9;A0A087WVF3	Q8IZP1;Q6IPX1;Q6DHY5;P0C7X1;B9A6J9;A6NER0;A6NDS4;A0A087X1G2;A0A087X179;A0A087WXS9;A0A087WVF3	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	TBC1 domain family member 3;TBC1 domain family member 3C;TBC1 domain family member 3G;TBC1 domain family member 3H;TBC1 domain family member 3L;TBC1 domain family member 3F;TBC1 domain family member 3B;TBC1 domain family member 3K;TBC1 domain family member 3E;TBC1 domain family member 3I;TBC1 domain family member 3D	TBC1D3;TBC1D3C;TBC1D3G;TBC1D3H;TBC1D3L;TBC1D3F;TBC1D3B;TBC1D3K;TBC1D3E;TBC1D3I;TBC1D3D	TBC3A_HUMAN TBC1 domain family member 3 OS=Homo sapiens GN=TBC1D3 PE=1 SV=6;TBC3C_HUMAN TBC1 domain family member 3C OS=Homo sapiens GN=TBC1D3C PE=2 SV=3;TBC3G_HUMAN TBC1 domain family member 3G OS=Homo sapiens GN=TBC1D3G PE=2 SV=2;TBC3H_HUMAN TBC1 domain 	11	1	1	1	2	2	2	62.186	549	549;549;549;549;549;549;549;549;549;549;549	0.48411	0.62078	36996	26047	273.88	735.77	1837.8	867.56	318.88	454.77	209.77	350.03	1235.2	1453.6	0	0	0	0	34274	24194	2927.8	2500.6	1819.8	920.7	394.55	479.2	255.67	383.37	1167	1392.1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	2088000	1				0	2239	True	2240	2445	2514	2514		
A0A1B0GTK4	A0A1B0GTK4	1	1	1			F237A_HUMAN Protein FAM237A OS=Homo sapiens GN=FAM237A PE=3 SV=1	1	1	1	1	3.9	3.9	3.9	20.56	181	181	0.53684	-0.014198	37835	30009	294.37	819.05	240.98	0	0	0	0	306.26	288.4	0	0	0	0	0	35050	27875	2986.1	2840.4	320.83	0	0	0	0	287.49	270.64	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	2008100	1				1	3391	True	3397	3707	3806	3806		
A0MZ66	A0MZ66	1	1	1	Shootin-1	KIAA1598	SHOT1_HUMAN Shootin-1 OS=Homo sapiens GN=SHTN1 PE=1 SV=4	1	1	1	1	1.1	1.1	1.1	71.639	631	631	0.56016	-0.058564	73248	120690	0	0	1382.2	1308.3	573.65	469.23	0	787.87	0	1136.9	0	0	0	0	67844	112060	3770.6	5797.3	1356.9	1309.1	599.69	520.9	0	787.85	0	1106.8	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	0	5772400	1				2	3682	True	3691	4028	4137	4137		
A1A4S6	A1A4S6	1	1	1	Rho GTPase-activating protein 10	ARHGAP10	RHG10_HUMAN Rho GTPase-activating protein 10 OS=Homo sapiens GN=ARHGAP10 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	89.374	786	786	0.49135	0.52594	153760	282210	0	0	1910.6	1500	939.85	1488.7	701.71	1944.5	838.92	2550.4	0	0	0	352.42	142430	262090	10093	19525	2060.3	2010.3	985.6	1514.7	731.1	1950.8	813.29	2490.7	0	0	0	332.53	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	12639000	1				3	1363	True	1361	1500	1546	1546		
A1A5D9	A1A5D9	1	1	1	Bicaudal D-related protein 2	CCDC64B	BICL2_HUMAN BICD family-like cargo adapter 2 OS=Homo sapiens GN=BICDL2 PE=1 SV=2	1	1	1	1	1.4	1.4	1.4	56.833	508	508	0.55991	-0.057037	56738	60419	593.95	958.22	105.62	387.77	276.59	308.57	0	358.64	0	512.98	0	0	0	0	52564	56116	4617.4	5082.3	257.1	552.61	263.31	318.21	0	362.37	0	499.59	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	2336700	1				4	1684	True	1683	1839	1891	1891		
A2VDF0	A2VDF0	1	1	1	Fucose mutarotase	FUOM	FUCM_HUMAN Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2	1	1	1	1	5.8	5.8	5.8	16.765	154	154	0.55411	-0.043969	192900	327280	0	1772.6	625.4	1391.9	930.81	2855.6	1082.1	2335.8	883.22	2065.8	0	549.56	0	558.25	178690	303950	13477	24348	976.46	2144.7	923.82	2794.3	1087.3	2365.2	868.58	2062.4	0	604.95	0	534.84	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	7976100	1				5	2120	True	2119	2311	2372	2372		
A4D0S4	A4D0S4	1	1	1	Laminin subunit beta-4	LAMB4	LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1	1	1	1	1	1.2	1.2	1.2	193.54	1761	1761	0.45338	0.68545	203120	270380	3277.1	5740	1878.6	1965	1510.8	1343.6	998.2	2483.3	1816.8	2367.7	0	0	0	0	188180	251130	17621	24096	2407.7	2777.5	1529.5	1425.6	1068.6	2446.5	1742.1	2334.9	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	25898000	1				6	622	True	615	680	698	698		
A4D2B8	A4D2B8	1	1	1	Putative postmeiotic segregation increased 2-like protein 1	PMS2P1	PM2P1_HUMAN Putative postmeiotic segregation increased 2-like protein 1 OS=Homo sapiens GN=PMS2P1 PE=5 SV=1	1	1	1	1	3.2	3.2	3.2	47.507	440	440	0.46106	0.65862	105010	120380	1034	187	660.59	612.61	308.2	526.23	856.44	395.18	758.61	989.3	0	0	0	0	97287	111800	8490.7	8523.3	903.22	842.47	343.01	532.6	843.42	417.49	743.03	953.06	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	5343300	1				7	608	True	601	666	684	684		
Q6S8J3;A5A3E0;P0CG38;P0CG39;Q6S8J7;Q6S5H5;A6NI47;B2RU33;H3BUK9;Q6S545;Q6S5H4;A0JP26	Q6S8J3;A5A3E0;P0CG38;P0CG39	6;6;5;3;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	POTE ankyrin domain family member E;POTE ankyrin domain family member F;POTE ankyrin domain family member I;POTE ankyrin domain family member J	POTEE;POTEF;POTEI;POTEJ	POTEE_HUMAN POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=2 SV=3;POTEF_HUMAN POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2;POTEI_HUMAN POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI PE=3 SV=1;POTEJ_H	12	6	1	1	5.4	0.7	0.7	121.36	1075	1075;1075;1075;1038;498;508;508;542;544;545;581;581	0.30464	0.97568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				8	194;384;559;560;3921;4663	False;True;False;False;False;False	194;386;554;555;3931;4674	208;430;615;616;4286;5085;5086;5087;5088;5089;5090	211;212;213;214;443;630;631;632;633;634;4397;5207;5208;5209;5210;5211;5212;5213;5214;5215;5216;5217	211;443;630;633;4397;5208		
A6NCI4	A6NCI4	1	1	1	von Willebrand factor A domain-containing protein 3A	VWA3A	VWA3A_HUMAN von Willebrand factor A domain-containing protein 3A OS=Homo sapiens GN=VWA3A PE=2 SV=3	1	1	1	1	0.8	0.8	0.8	134.02	1184	1184	0.43142	0.7238	42336	58997	0	0	0	334.03	0	393.08	476.59	814.22	0	1242.9	0	721.42	0	0	39215	54783	2625.4	3340.4	0	391.9	0	403.73	446.58	811.58	0	1229.6	0	721.5	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	2075000	1				9	4228	True	4240	4616	4731	4731		
