Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity corrected 16	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity 16	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Reporter intensity count 16	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0AVF1	A0AVF1	1	1	1	Intraflagellar transport protein 56	TTC26	IFT56_HUMAN Intraflagellar transport protein 56 OS=Homo sapiens GN=TTC26 PE=2 SV=1	1	1	1	1	1.3	1.3	1.3	64.177	554	554	0.65	3.8479	32842	35440	1173.4	2212.1	3383.7	7479.5	4497	8727.1	6288	9558.5	4240.2	9773.7	0	4386.7	0	774.03	30433	32928	3496.6	4633.5	3407.6	7403.9	4512.2	8764.9	6246	9587.6	4209.4	9748.1	0	4482.2	0	796.89	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	3133600	1				0	112	True	113	141	147	147		
Q8NET1;A8MXU0	Q8NET1;A8MXU0	1;1	1;1	1;1	Beta-defensin 108B;Putative beta-defensin 108A	DEFB108B;DEFB108P1	D108B_HUMAN Beta-defensin 108B OS=Homo sapiens GN=DEFB108B PE=2 SV=3;DB108_HUMAN Putative beta-defensin 108A OS=Homo sapiens GN=DEFB108A PE=5 SV=2	2	1	1	1	9.6	9.6	9.6	8.3258	73	73;73	0.52414	5.2502	7323.8	6079.7	0	4146.4	1518.1	5687.8	1377.5	3279.6	1139.2	5241	1622.9	3565.3	0	1520.9	0	563.15	6784.9	5675.6	483	4356.1	1462.4	5665.7	1386	3488.1	1187.6	5150.9	1565.1	3616.1	0	1572.7	0	554.25	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	3518000	1				1	181	True	183	216	223	223		
P0DMR1;O60812;B7ZW38;B2RXH8;P07910	P0DMR1;O60812;B7ZW38;B2RXH8;P07910	2;2;2;2;2	2;2;2;2;2	2;2;2;2;2	Heterogeneous nuclear ribonucleoprotein C-like 4;Heterogeneous nuclear ribonucleoprotein C-like 1;Heterogeneous nuclear ribonucleoprotein C-like 3;Heterogeneous nuclear ribonucleoprotein C-like 2;Heterogeneous nuclear ribonucleoproteins C1/C2	HNRNPCL4;HNRNPCL1;HNRNPCL3;HNRNPCL2;HNRNPC	HNRC4_HUMAN Heterogeneous nuclear ribonucleoprotein C-like 4 OS=Homo sapiens GN=HNRNPCL4 PE=3 SV=1;HNRC1_HUMAN Heterogeneous nuclear ribonucleoprotein C-like 1 OS=Homo sapiens GN=HNRNPCL1 PE=1 SV=1;HNRC3_HUMAN Heterogeneous nuclear ribonucleoprotein C-like	5	2	2	2	5.5	5.5	5.5	32.029	293	293;293;293;293;306	0	11.532	44744	39306	55.114	423.1	4732.2	6092.8	6644.8	6601.4	7947.2	8037	7028.2	8192.8	0	289.66	0	995.25	41451	36505	3218.7	3143.3	4665.5	5951.3	6618.3	6671.5	7995.9	8026.4	6887.2	8073.1	0	402.52	0	943.53	2	2	1	1	2	2	2	2	2	2	2	2	0	1	0	2	5360900	2				2	6;33	True;True	6;33	9;41	9;43	9;43		
CON__P00761	CON__P00761	3	3	3				1	3	3	3	16.5	16.5	16.5	24.409	231	231	0	23.432	775960	778930	3738.6	588230	28697	608510	23223	148750	30361	172510	22139	162890	1900.2	141660	0	10020	718720	727530	40145	608630	27799	610750	23385	175110	30270	172840	21919	164940	2268.6	140010	0	11386	17	17	11	17	13	17	6	17	11	17	9	17	3	17	0	13	143060000	19			+	3	243;270;429	True;True;True	245;272;430	279;280;281;282;283;284;285;322;513;514;515;516	286;287;288;289;290;291;292;329;521;522;523;524;525;526;527;528;529;530;531	289;329;531		
E7ERA6	E7ERA6	1	1	1	RING finger protein 223	RNF223	RN223_HUMAN RING finger protein 223 OS=Homo sapiens GN=RNF223 PE=2 SV=1	1	1	1	1	2.8	2.8	2.8	26.629	249	249	0.58031	3.8479	29403	34124	0	26.385	3756.4	5818.2	5123.9	5328.7	4729.6	7023	4981	7777.8	0	522.15	0	907.62	27235	31691	1540.2	2478.2	3648.8	5635.5	5072.5	5445.7	4840.1	7010.5	4848.8	7649.5	0	746.04	0	864.37	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1299700	1				4	43	True	42	52	54	54		
H0YL14	H0YL14	1	1	1	Protein C9orf69	C9orf69	TM250_HUMAN Transmembrane protein 250 OS=Homo sapiens GN=TMEM250 PE=1 SV=2	1	1	1	1	5	5	5	16.083	139	139	0.59794	3.8479	20983	21237	20.515	862.23	2426.3	3409.8	2405.2	4602.3	2817	4754.2	2847.1	3888.9	0	177.84	0	371.07	19439	19729	1557.9	2330.6	2369.1	3390.5	2429.9	4585.9	2849.6	4754.6	2775.2	3866.7	0	290.27	0	352.92	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1443500	1				5	323	True	325	377	385	385		
O00270	O00270	1	1	1	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	GPR31	GPR31_HUMAN 12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor OS=Homo sapiens GN=GPR31 PE=2 SV=2	1	1	1	1	2.2	2.2	2.2	35.074	319	319	0.5473	5.2148	35123	41183	593.15	11207	4429.7	11683	5094.5	7114.8	5618.9	9518.1	5509	6022.6	0	886.11	0	0	32543	38325	3134.8	13438	4368.5	11871	5103.2	7488.2	5691.1	9392.6	5376.4	6079.7	0	1007.2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	4097900	1				6	469	True	470	559	574	574		
O00512	O00512	1	1	1	B-cell CLL/lymphoma 9 protein	BCL9	BCL9_HUMAN B-cell CLL/lymphoma 9 protein OS=Homo sapiens GN=BCL9 PE=1 SV=4	1	1	1	1	0.5	0.5	0.5	149.29	1426	1426	0.14634	5.5784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				7	282	True	284	334	341	341		
O15523;O00571	O15523;O00571	1;1	1;1	1;1	ATP-dependent RNA helicase DDX3Y;ATP-dependent RNA helicase DDX3X	DDX3Y;DDX3X	DDX3Y_HUMAN ATP-dependent RNA helicase DDX3Y OS=Homo sapiens GN=DDX3Y PE=1 SV=2;DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3	2	1	1	1	1.7	1.7	1.7	73.153	660	660;662	0	5.6199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				8	352	True	354	409	417	417		
O14497	O14497	1	1	1	AT-rich interactive domain-containing protein 1A	ARID1A	ARI1A_HUMAN AT-rich interactive domain-containing protein 1A OS=Homo sapiens GN=ARID1A PE=1 SV=3	1	1	1	1	0.7	0.7	0.7	242.04	2285	2285	0	5.6563	20012	27075	1139.1	1526.6	0	1198.8	357.43	7642.9	504.94	23201	0	3370.7	0	4112.5	0	965.74	18546	25155	2493.6	3337	0	1450.5	346.67	7773.8	489.33	22189	0	4141	0	4066.5	0	972.91	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	3289300	1				9	390	True	390	447	455	455		
